Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
"PS: Manage PCID for LRP, Proposal or Contract",868bzt8py,ILT,1,ISG,5/12/25,6/2/25,6/6/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
"PS: Transfer pWBS to aWBS, Create/Rel Final Work Pkg/Acct Assign, Issue Finl WAD",868bzm2mj,Video,0.1,ISG,5/5/25,,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PLP
Incurred Cost Claim: Reconcile G/L Data,868a2uwf7,ILT,1,ISG,6/30/25,9/25/24,7/25/25,,Final Development,On Track,,Cognitus; SAP S/4 HANA,PLP
A/P & Supply Chain: Delegation of Authority ,868c1zq6a,ILT,1,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,SAP Concur; SAP S/4 HANA,PTP
A/P & Supply Chain: Expense Report Analytics (Concur Reports),868a2v63n,ILT,1,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP Concur; SAP S/4 HANA,PTP
A/P & Supply Chain: Expense Report Approval ,868a2v6ky,ILT,1,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,SAP Concur; SAP S/4 HANA,PTP
A/P & Supply Chain: Expense Report Posting & Errors,868a2v630,ILT,1,ISG,5/19/25,,6/13/25,,Design,Behind Schedule,Curriculum redesign,SAP Concur; SAP S/4 HANA,PTP
A/P & Supply Chain: Initiate Procurement Request,868c1zgrd,WBT,0.5,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
A/P & Supply Chain: P-Card Statement Invoice Reconciliation ,868a2v68z,ILT,1,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,SAP Concur for PCard; SAP S/4 HANA,PTP
A/P & Supply Chain: Reconcile P-Card Purchase - Add Transactional Details ,868a2v6gq,ILT,1,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,SAP Concur for PCard; SAP S/4 HANA,PTP
A/P & Supply Chain: Reconcile PO Catalog & Punch Out,868c1zugu,WBT,0.5,ISG,4/28/25,4/1/25,5/23/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
A/P & Supply Chain: Reconcile US Bank Statement Detail ,868a3c3jd,WBT,0.5,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
A/P & Supply Chain: Storing P-Card Packages ,868a2vbm7,ILT,1,ISG,5/26/25,,6/20/25,,Design,Behind Schedule,Curriculum redesign,OpenText Content Server (xECM); SAP Concur; SAP S/4 HANA,PTP
Supplier Quality: Corporate Overrides,868c1wej1,WBT,0.5,ISG,5/5/25,5/13/25,5/30/25,,Final Development,Behind Schedule,SME Time Needed,SAP S/4 HANA,PTP
Accounts Payable: Add/Remove Supplier Remedy Condition,868c1x1dj,WBT,0.5,ISG,5/19/25,6/3/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: AP Analytics,868b6enaq,ILT,1,ISG,6/23/25,,7/18/25,,Not Started,On Track,,OpenText Content Server (xECM); SAP S/4 HANA,PTP
Accounts Payable: Approve/Reject Expedited Payment Requests,868a372rj,WBT,0.5,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Bank Integrations,868c1ydpp,WBT,0.5,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Create Invoice using Spreadsheet Upload,868a36nb0,WBT,0.5,ISG,5/19/25,6/2/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
Accounts Payable: Currency Mismatch Error (Update PO),868a2vbmh,WBT,0.5,ISG,5/26/25,,6/20/25,,Not Started,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
Accounts Payable: Errors within the Financing Process,868c1z18m,WBT,0.5,ISG,5/5/25,6/1/25,5/30/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: GR/IR Reconciliation,868c1x2u7,WBT,0.5,ISG,5/19/25,,6/13/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA;OpenText Vendor Invoice Management,PTP
"Accounts Payable: Perform Reconciliations, Pt. 1",868c1y98y,WBT,0.5,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
"Accounts Payable: Perform Reconciliations, Pt. 2",868c1ybpr,WBT,0.5,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Process Aged ERS Receipts,868c1x5gm,WBT,0.5,ISG,5/19/25,6/2/25,6/13/25,,Alpha Development,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: Process Certified Checks,868c1y56t,WBT,0.5,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
Accounts Payable: Process Cost-Reimbursable Exceptions for Accounts Payable,868c1z0xy,WBT,0.5,ISG,5/5/25,5/15/25,5/30/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: Process Cost-Reimbursable Exceptions for Buyers,868c1z0a0,WBT,0.5,ISG,5/5/25,5/23/25,5/30/25,,Alpha Review,Behind Schedule,Curriculum redesign,SAP S/4 HANA,PTP
Accounts Payable: Process Direct Debit Payments,868a3811p,Video,0.1,ISG,6/16/25,,7/11/25,,Not Started,On Track,,SAP S/4 HANA,PTP
